Filter,Date,Experiment,Filtration,mass1,mass2,mass3,mass4,mass5
FA,20210701,17,Ndata,1361.7,1361.6,1361.6,1361.7,1361.6
FN,20210701,17,Sample,1488.7,1488.8,1488.7,1488.7,1488.8
FA,20210705,18,Ndata,1360.4,1360.4,1360.4,1360.5,1360.3
FN,20210705,18,Ndata,1360.7,1360.7,1360.8,1360.6,1360.6
FA,20210705,18,Ndata,1360.8,1360.7,1360.8,1360.8,1360.8
FN,20210705,18,Sample,1447.9,1447.8,1448,1447.9,1447.9
FA,20210706,19,Ndata,1360.7,1360.7,1360.8,1360.6,1360.6
FN,20210706,19,Ndata,1360.4,1360.4,1360.5,1360.5,1360.4
FA,20210706,19,Ndata,1361.5,1361.4,1361.5,1360.3,1361.5
FN,20210706,19,Sample,1479.6,1479.6,1479.5,1479.6,1479.7
FA,20210707,20,Ndata,1360.6,1360.7,1360.6,1360.6,1360.5
FN,20210707,20,Ndata,1360.6,1360.7,1360.6,1360.6,1360.7
FA,20210707,20,Ndata,1361.5,1361.6,1361.5,1361.6,1361.7
FN,20210707,20,Sample,1473.1,1473.2,1473.1,1473.1,1473.3
FA,20210719,21,Ndata,1360.4,1360.5,1360.5,1360.5,1360.4
FN,20210719,21,Ndata,1360.4,1360.3,1360.4,1360.5,1360.5
FA,20210719,21,Ndata,1361.8,1361.7,1361.6,1361.7,1361.7
FN,20210719,21,Sample,1488.2,1488.1,1488.2,1488.3,1488.2
FA,20210720,22,Ndata,1360.4,1360.5,1360.4,1360.5,1360.5
FN,20210720,22,Ndata,1360.7,1360.6,1360.6,1360.5,1360.5
FA,20210720,22,Ndata,1360.9,1360.1,1360.9,1360.9,1361
FN,20210720,22,Sample,1471.1,1471,1470.9,1470.9,1471.1
FA,20210721,23,Ndata,1360.7,1360.6,1360.6,1360.5,1360.5
FN,20210721,23,Ndata,1360.4,1360.3,1360.4,1360.5,1360.5
FA,20210721,23,Ndata,1361.9,1361.9,1361.9,1361.8,1361.9
FN,20210721,23,Sample,1468.6,1468.5,1468.4,1468.6,1468.6
FA,20210726,24,Ndata,1360.5,1360.4,1360.4,1360.5,1360.4
FN,20210726,24,Ndata,1360.5,1360.4,1360.4,1360.5,1360.5
FA,20210726,24,Ndata,1360.2,1360.1,1360.2,1360,1360.1
FN,20210726,24,Sample,1459.5,1459.6,1459.6,1459.4,1459.5
FA,20210727,25,Ndata,1360.5,1360.4,1360.4,1360.5,1360.5
FN,20210727,25,Ndata,1360.7,1360.8,1360.6,1360.7,1360.7
FA,20210727,25,Ndata,1361.3,1361.3,1361.2,1361.2,1361.3
FN,20210727,25,Sample,1460.7,1460.8,1460.7,1460.6,1460.6
FA,20210728,26,Ndata,1360.7,1360.8,1360.6,1360.7,1360.7
FN,20210728,26,Ndata,1360.5,1360.5,1360.4,1360.5,1360.5
FA,20210728,26,Ndata,1360.7,1361.6,1361.6,1361.7,1361.5
FN,20210728,26,Sample,1457.3,1457.2,1457.3,1457.3,1457.1
FA,20210729,27,Ndata,1360.5,1360.5,1360.4,1360.5,1360.5
FN,20210729,27,Ndata,1360.6,1360.5,1360.7,1360.6,1360.5
FA,20210729,27,Ndata,1361.9,1361.8,1361.8,1361.7,1361.9
FN,20210729,27,Sample,1474,1474.1,1474.1,1474.1,1473.9
FA,20210803,28,Ndata,1360.6,1360.5,1360.7,1360.6,1360.5
FN,20210803,28,Ndata,1360.2,1360.3,1360.4,1360.3,1360.4
FA,20210803,28,Ndata,1362,1361.9,1361.9,1362,1362.1
FN,20210803,28,Sample,1473.5,1473.4,1473.4,1473.5,1473.4
FA,20210805,29,Ndata,1360.2,1360.3,1360.4,1360.3,1360.4
FN,20210805,29,Ndata,1360.5,1360.4,1360.5,1360.5,1360.4
FA,20210805,29,Ndata,1360.9,1361.1,1361.1,1361,1361.1
FN,20210805,29,Sample,1475.8,1475.7,1475.6,1475.7,1475.8
FA,20210309,30,Ndata,1360.5,1360.4,1360.5,1360.5,1360.4
FN,20210309,30,Ndata,1360.4,1360.5,1360.4,1360.4,1360.5
FA,20210309,30,Ndata,1360.7,1360.8,1360.7,1360.6,1360.7
FN,20210309,30,Sample,1469.1,1469.2,1469.2,1469.1,1469.1
FA,20210817,31,Ndata,1360.4,1360.5,1360.4,1360.4,1360.5
FN,20210817,31,Ndata,1360.5,1360.4,1360.6,1360.5,1360.4
FA,20210817,31,Ndata,1361.2,1361.1,1361,1361.1,1361.2
FN,20210817,31,Sample,1466.8,1466.9,1466.8,1466.7,1466.7
FA,20210901,32,Ndata,1360.5,1360.4,1360.6,1360.5,1360.4
FN,20210901,32,Ndata,1360.6,1360.6,1360.6,1360.5,1360.4
FA,20210901,32,Ndata,1361.6,1361.6,1361.6,1361.6,1361.5
FN,20210901,32,Sample,1479.5,1479.6,1479.4,1479.5,1479.5
FA,20210902,33,Ndata,1360.6,1360.6,1360.6,1360.5,1360.4
FN,20210902,33,Ndata,1360.5,1360.4,1360.6,1360.6,1360.5
FA,20210902,33,Ndata,1361.7,1361.8,1361.6,1361.7,1361.8
FN,20210902,33,Sample,1480.3,1480.3,1480.3,1480.2,1480.3
FA,20210908,35,Ndata,1360.5,1360.4,1360.5,1360.4,1360.4
FN,20210908,35,Ndata,1360.4,1360.5,1360.3,1360.3,1360.4
FA,20210908,35,Ndata,1360.8,1360.7,1360.7,1360.6,1360.7
FN,20210908,35,Sample,1458.2,1458.1,1458.1,1458,1458.1
FA,20210928,36,Ndata,1360.4,1360.5,1360.3,1360.3,1360.4
FN,20210928,36,Ndata,1360.7,1360.6,1360.6,1360.5,1360.7
FA,20210928,36,Ndata,1360.9,1360.8,1360.9,1360.9,1360.9
FN,20210928,36,Sample,1440.8,1440.7,1440.8,1440.8,1440.7
FA,20210929,37,Ndata,1360.7,1360.6,1360.6,1360.5,1360.7
FN,20210929,37,Ndata,1360.6,1360.5,1360.4,1360.5,1360.5
FA,20210929,37,Ndata,1361.7,1361.6,1361.7,1361.7,1361.6
FN,20210929,37,Sample,1449.6,1449.7,1449.6,1449.6,1449.7
FA,20210930,38,Ndata,1360.6,1360.5,1360.4,1360.5,1360.5
FN,20210930,38,Ndata,1360.4,1360.5,1360.4,1360.4,1360.4
FA,20210930,38,Ndata,1361.6,1361.6,1361.5,1361.6,1361.5
FN,20210930,38,Sample,1463.7,1463.6,1463.7,1463.5,1463.6
FA,20211004,39,Ndata,1360.4,1360.5,1360.4,1360.4,1360.4
FN,20211004,39,Ndata,1360.6,1360.6,1360.7,1360.6,1360.6
FA,20211004,39,Ndata,1361.3,1361.2,1361.3,1361.1,1361.1
FN,20211004,39,Sample,1471.4,1471.3,1471.3,1471.4,1471.1
FA,20211005,40,Ndata,1360.6,1360.6,1360.7,1360.6,1360.6
FN,20211005,40,Ndata,1360.6,1360.5,1360.4,1360.5,1360.4
FA,20211005,40,Ndata,1362,1362.1,1362.2,1362.1,1362.1
FN,20211005,40,Sample,1470.4,1470.3,1470.3,1470.4,1470.5
FA,20211006,41,Ndata,1360.6,1360.5,1360.4,1360.5,1360.4
FN,20211006,41,Ndata,1360.7,1360.6,1360.6,1360.7,1360.7
FA,20211006,41,Ndata,1360.5,1360.6,1360.7,1360.6,1360.5
FN,20211006,41,Sample,1472.7,1472.8,1472.7,1472.6,1472.7
FA,20211007,42,Ndata,1360.7,1360.6,1360.6,1360.7,1360.7
FN,20211007,42,Ndata,1360.4,1360.4,1360.5,1360.4,1360.3
FA,20211007,42,Ndata,1360.9,1360.9,1361,1360.8,1360.9
FN,20211007,42,Sample,1470.3,1470.4,1470.3,1470.3,1470.5
FA,20211014,43,Ndata,1360.4,1360.4,1360.5,1360.4,1360.3
FN,20211014,43,Ndata,1360.5,1360.5,1360.4,1360.3,1360.5
FA,20211014,43,Ndata,1360.4,1360.5,1360.3,1360.4,1360.4
FN,20211014,43,Sample,1472.8,1472.9,1473,1472.9,1472.8
FA,20211018,44,Ndata,1360.5,1360.5,1360.4,1360.3,1360.5
FN,20211018,44,Ndata,1360.3,1360.3,1360.2,1360.2,1360.1
FA,20211018,44,Ndata,1361.8,1361.9,1361.9,1362.9,1361.8
FN,20211018,44,Sample,1476.4,1476.3,1476.5,1476.4,1476.3
FA,20210281,45,Ndata,1360.3,1360.3,1360.2,1360.2,1360.1
FN,20210281,45,Ndata,1360.3,1360.3,1360.2,1360.2,1360.1
FA,20210281,45,Ndata,1361.1,1361,1361.1,1361.2,1361.1
FN,20210281,45,Sample,1476.4,1476.3,1476.4,1476.5,1476.3
FA,20211025,46,Ndata,1360.3,1360.3,1360.2,1360.2,1360.1
FN,20211025,46,Ndata,1360.5,1360.4,1360.5,1360.4,1360.3
FA,20211025,46,Ndata,1361.1,1361,1361.1,1361.2,1361.1
FN,20211025,46,Sample,1468,1467.9,1467.9,1468,1468.1
FA,20211101,47,Ndata,1360.5,1360.4,1360.5,1360.4,1360.3
FN,20211101,47,Ndata,1360.5,1360.4,1360.5,1360.4,1360.4
FA,20211101,47,Ndata,1361.4,1361.4,1361.4,1361.3,1361.5
FN,20211101,47,Sample,1461.6,1461.5,1461.6,1461.6,1461.5
FA,20211103,48,Ndata,1360.5,1360.4,1360.5,1360.4,1360.4
FN,20211103,48,Ndata,1360.4,1360.5,1360.6,1360.5,1360.5
FA,20211103,48,Ndata,1359.9,1360,1360,1359.9,1360.1
FN,20211103,48,Sample,1480.7,1480.6,1480.6,1480.7,1480.6
FA,20211109,49,Ndata,1360.4,1360.5,1360.6,1360.5,1360.5
FN,20211109,49,Ndata,1360.6,1360.5,1360.4,1360.5,1360.4
FA,20211109,49,Ndata,1360.8,1360.7,1360.6,1360.7,1360.7
FN,20211109,49,Sample,1464.5,1464.6,1464.6,1464.5,1464.4
FA,20211110,50,Ndata,1360.6,1360.5,1360.4,1360.5,1360.4
FN,20211110,50,Ndata,1360.4,1360.5,1360.5,1360.5,1360.6
FA,20211110,50,Ndata,1362.1,1362.2,1362.1,1362.2,1362.2
FN,20211110,50,Sample,1465.1,1465.2,1465.1,1465,1465.2
FA,20211115,51,Ndata,1360.4,1360.5,1360.5,1360.5,1360.6
FN,20211115,51,Ndata,1360.5,1360.6,1360.6,1360.5,1360.7
FA,20211115,51,Ndata,1362.2,1362.1,1362.2,1362.1,1362.1
FN,20211115,51,Sample,1471.4,1471.5,1471.5,1471.6,1471.4
